CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Complain,Satisfaction Score,Point Earned,Geography,Gender,Card Type,Exited
619,32,4,175406.13,2,1,1,241924.40199999997,1,1,707,Spain,Female,DIAMOND,1
643,34,7,160426.07,1,0,1,263961.354,0,3,806,Germany,Female,GOLD,0
561,33,6,0.0,2,0,0,243167.546,0,3,220,France,Male,DIAMOND,0
618,41,8,37702.79,1,1,1,274100.672,0,5,615,Germany,Male,GOLD,0
714,37,9,148466.93,2,0,1,211808.34399999998,0,3,936,Germany,Male,SILVER,0
760,41,6,0.0,2,0,0,142102.72199999998,0,4,873,Spain,Female,SILVER,0
770,37,5,141547.26,2,0,1,252472.56199999998,0,2,890,Germany,Male,DIAMOND,0
537,41,3,138306.34,1,1,0,149481.058,0,5,767,Germany,Female,DIAMOND,0
597,26,7,0.0,2,1,0,154369.47999999998,0,4,235,Spain,Female,SILVER,0
710,36,4,116085.06,1,1,0,82057.254,0,1,306,France,Female,DIAMOND,0
704,44,9,153656.85,1,1,0,222254.93399999998,0,5,890,Spain,Female,PLATINUM,0
822,38,6,128289.7,3,1,0,12824.943999999998,1,3,799,France,Male,DIAMOND,1
543,31,2,147674.26,1,1,1,23337.263999999996,0,3,985,Germany,Female,DIAMOND,0
829,37,3,103457.76,1,0,0,1574.7679999999998,0,3,287,Germany,Female,PLATINUM,0
611,40,8,100812.33,2,1,0,206316.57799999998,0,2,927,France,Female,DIAMOND,0
743,40,6,0.0,1,1,0,39608.119999999995,1,2,744,France,Female,PLATINUM,1
769,38,2,0.0,2,0,0,105825.13799999999,0,5,829,France,Female,SILVER,0
704,38,6,106687.76,1,1,0,243302.09999999998,0,4,546,Spain,Male,GOLD,0
715,34,4,124314.45,1,0,0,136911.088,0,2,874,Germany,Male,SILVER,0
642,41,4,157777.58,1,1,0,94493.44,0,5,720,Germany,Male,DIAMOND,0
758,47,9,95523.16,1,1,0,102627.27199999998,0,1,810,Germany,Female,DIAMOND,0
562,38,5,0.0,1,1,0,161995.28,0,4,814,Germany,Male,PLATINUM,0
640,29,4,0.0,2,1,0,62880.964,0,3,758,Germany,Female,GOLD,0
513,49,5,171601.27,1,1,0,176728.376,0,3,844,Germany,Female,PLATINUM,0
487,33,8,145729.71,1,1,0,57927.189999999995,0,2,675,Spain,Male,DIAMOND,0
699,34,2,117468.67,1,1,0,259333.388,0,5,825,France,Male,GOLD,0
558,58,2,142537.18,1,1,1,124323.56199999999,0,3,487,Germany,Male,DIAMOND,0
778,24,4,0.0,2,1,1,227947.88,0,3,945,France,Male,DIAMOND,0
516,35,10,57369.61,1,1,1,142394.67799999999,0,5,771,France,Male,PLATINUM,0
774,35,3,121418.62,1,1,1,34175.518,0,4,981,Germany,Female,DIAMOND,0
536,35,8,0.0,2,1,0,90781.59199999999,0,2,345,Germany,Male,GOLD,0
602,42,6,158414.85,1,1,1,184656.04399999997,0,5,807,Germany,Female,GOLD,0
741,29,8,0.0,2,1,1,162407.328,0,5,854,France,Male,PLATINUM,0
850,23,9,143054.85,1,0,1,88188.344,0,3,930,Spain,Female,PLATINUM,0
737,43,8,96353.8,1,0,0,14308.719999999998,0,1,373,Germany,Male,DIAMOND,0
570,39,10,129674.89,2,1,0,112788.30399999999,0,3,723,Germany,Male,DIAMOND,0
582,32,4,0.0,2,1,0,83551.33399999999,0,4,727,France,Female,SILVER,0
536,28,4,0.0,1,1,1,190691.71,0,1,937,Spain,Female,PLATINUM,0
697,63,7,148368.02,1,0,0,166421.91199999998,1,5,505,France,Male,DIAMOND,1
538,62,3,75051.49,1,0,0,24769.827999999998,1,4,424,France,Female,GOLD,1
731,35,2,127862.93,2,1,0,194732.18,0,1,561,Germany,Male,PLATINUM,0
642,33,4,84607.34,2,0,1,84098.258,0,5,880,Germany,Female,GOLD,0
667,77,2,0.0,1,1,1,48599.087999999996,0,4,965,Spain,Male,DIAMOND,0
767,36,3,139180.2,1,0,0,173447.266,0,2,277,France,Male,DIAMOND,0
625,43,4,122351.29,1,1,0,99718.24,0,4,936,France,Male,GOLD,0
593,38,5,142658.04,2,0,1,189486.95399999997,0,1,698,Germany,Female,GOLD,0
655,72,5,138089.97,2,1,1,139903.574,0,3,766,Germany,Female,GOLD,0
706,29,5,112564.62,1,1,0,59283.13199999999,0,5,819,France,Female,PLATINUM,0
705,32,3,0.0,2,0,0,181422.786,0,2,789,Germany,Male,DIAMOND,0
