CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Complain,Satisfaction Score,Point Earned,Geography,Gender,Card Type,Exited
619,32,4,175406.13,2,1,1,172792.43,1,1,707,Spain,Female,DIAMOND,1
643,34,7,160426.07,1,0,1,188533.11,0,3,806,Germany,Female,GOLD,0
561,33,6,0.0,2,0,0,173680.39,0,3,220,France,Male,DIAMOND,0
618,41,8,37702.79,1,1,1,195775.48,0,5,615,Germany,Male,GOLD,0
714,37,9,148466.93,2,0,1,151280.96,0,3,936,France,Male,SILVER,0
760,41,6,0.0,2,0,0,101491.23,0,4,873,Spain,Female,SILVER,0
770,37,5,141547.26,2,0,1,180326.83,0,2,890,Germany,Male,DIAMOND,0
537,41,3,138306.34,1,1,0,106761.47,0,5,767,Germany,Female,DIAMOND,0
597,26,7,0.0,2,1,0,110253.2,0,4,235,Spain,Female,SILVER,0
710,36,4,116085.06,1,1,0,58601.61,0,1,306,France,Female,DIAMOND,0
704,44,9,153656.85,1,1,0,158742.81,0,5,890,Spain,Female,PLATINUM,0
822,38,6,128289.7,3,1,0,9149.96,1,3,799,France,Male,DIAMOND,1
543,31,2,147674.26,1,1,1,16658.76,0,3,985,France,Female,DIAMOND,0
829,37,3,103457.76,1,0,0,1114.12,0,3,287,Germany,Female,PLATINUM,0
611,40,8,100812.33,2,1,0,147358.27,0,2,927,France,Female,DIAMOND,0
743,40,6,0.0,1,1,0,28280.8,1,2,744,France,Female,PLATINUM,1
769,38,2,0.0,2,0,0,75578.67,0,5,829,France,Female,SILVER,0
704,38,6,106687.76,1,1,0,173776.5,0,4,546,Spain,Male,GOLD,0
715,34,4,124314.45,1,0,0,97782.92,0,2,874,France,Male,SILVER,0
642,41,4,157777.58,1,1,0,67484.6,0,5,720,Germany,Male,DIAMOND,0
758,47,9,95523.16,1,1,0,73294.48,0,1,810,Germany,Female,DIAMOND,0
562,38,5,0.0,1,1,0,115700.2,0,4,814,France,Male,PLATINUM,0
640,29,4,0.0,2,1,0,44904.26,0,3,758,France,Female,GOLD,0
513,49,5,171601.27,1,1,0,126223.84,0,3,844,Germany,Female,PLATINUM,0
487,33,8,145729.71,1,1,0,41365.85,0,2,675,Spain,Male,DIAMOND,0
699,34,2,117468.67,1,1,0,185227.42,0,5,825,France,Male,GOLD,0
558,58,2,142537.18,1,1,1,88791.83,0,3,487,Germany,Male,DIAMOND,0
778,24,4,0.0,2,1,1,162809.2,0,3,945,France,Male,DIAMOND,0
